Rank,Country,Total,"Recordedconsumption","Unrecordedconsumption","Beer(%)","Wine(%)","Spirits(%)","Other(%)","2015projection"
114,Liberia,4.7,3.1,1.6,10.8,1,88.1,0,5.2
115,Uzbekistan,4.6,2.4,2.1,18.3,6.3,75.4,0,4.8
116,Chad,4.4,0.4,4,66.3,3.4,3.8,26.5,4.4
117,United Arab Emirates,4.3,2.8,1.5,10.3,2.9,86.7,0,4.3
118,Kyrgyzstan,4.3,2.4,1.9,22.6,4.2,72.9,0.3,3.9
119,India,4.3,2.2,2.2,6.8,0.1,93.1,0,4.6
120,Turkmenistan,4.3,2.2,2.2,15.4,26.1,58.4,0,5
121,Kenya,4.3,1.8,2.5,56.1,1.8,21.6,20.4,4
122,Ethiopia,4.2,0.7,3.5,49.7,0.6,8.2,41.4,4.3
123,Honduras,4,3,1,40.1,1.1,58.7,0,4
124,Guinea-Bissau,4,2.5,1.5,19.6,14.9,22.4,43,4.3
125,Zambia,4,2.5,1.5,22.7,2.9,13.6,60.7,4
126,Republic of the Congo,3.9,1.7,2.2,78.4,9.8,10.9,0.8,3.9
127,Guatemala,3.8,2.2,1.6,41.9,1.6,56.3,0.2,3.9
128,Central African Republic,3.8,1.8,2,16.2,0.6,2.1,81.1,3.8
129,North Korea,3.7,3.2,0.5,5.1,0,94.9,0,4.4
130,Sri Lanka,3.7,2.2,1.5,13,0.1,85.2,1.7,4.5
131,Mauritius,3.6,2.6,1,66.2,12.3,21.3,0.2,4
132,Samoa,3.6,2.6,1,70.9,16.6,12.5,0,
133,Democratic Republic of the Congo,3.6,2.3,1.3,24,0.7,2,73.3,3.4
134,Nauru,3.5,1,2.5,85.4,14.6,0,0,3
135,Gambia,3.4,2.4,1,5.6,0.7,0.3,93.5,3.2
136,Federated States of Micronesia,3.3,2.3,1,47,14.1,38.9,0,3.5
137,El Salvador,3.2,2.2,1,41.7,1.7,56.6,0,3.5
138,Fiji,3,2,1,67.7,0.9,31.1,0.2,3.2
139,Papua New Guinea,3,1.5,1.5,51.3,0.9,47.7,0,3.1
140,Kiribati,3,1,2,36.9,2.2,60.9,0,2.9
141,Tajikistan,2.8,0.3,2.5,10.2,1.1,88.7,0,2.4
142,Israel,2.8,0.3,2.5,44,6.2,49.5,0.3,3.1
143,Sudan,2.7,1.7,1,8,0,13.5,78.5,2.7
144,Malawi,2.5,1.5,1,9.1,1.2,13.4,76.2,2.5
145,Macedonia,2.4,1.9,0.5,18.2,29.1,52.4,0.3,2.2
146,Azerbaijan,2.3,1.3,1,28.7,7.6,63.3,0,2.1
147,Mozambique,2.3,1.3,1,63,7.3,25.4,4.3,2
